	PV2	PV5	PV6	PV7	PV8	PV9
Cluster-151.0	0	0	0	0	0	24
Cluster-152.0	0	0	0	0	0	27
Cluster-153.0	0	0	0	0	0	23
Cluster-154.0	0	0	0	0	0	24
Cluster-155.0	0	0	0	0	0	24
Cluster-156.0	0	0	0	0	0	23
Cluster-157.0	0	0	0	0	0	23
Cluster-158.0	0	0	0	0	0	25
Cluster-159.0	0	0	0	0	0	24
Cluster-160.0	0	0	0	0	0	25
Cluster-161.0	0	0	0	0	0	26
Cluster-162.0	0	0	0	0	0	24
Cluster-163.0	0	0	0	0	0	29
Cluster-164.0	0	0	0	0	0	26
Cluster-165.0	0	0	0	0	0	25
Cluster-166.0	0	0	0	0	0	30
Cluster-167.0	0	0	0	0	0	30
Cluster-168.0	0	0	0	0	0	29
Cluster-169.0	0	0	0	0	0	28
Cluster-170.0	0	0	0	0	0	27
Cluster-171.0	0	0	0	0	0	30
Cluster-172.0	0	0	0	0	0	30
Cluster-173.0	0	0	0	0	0	28
Cluster-174.0	0	0	0	0	0	30
Cluster-175.0	0	0	0	0	0	27
Cluster-176.0	0	0	0	0	0	27
Cluster-177.0	0	0	0	0	0	31
Cluster-178.0	0	0	0	0	0	29
Cluster-179.0	0	0	0	0	0	31
Cluster-180.0	0	0	0	0	0	30
Cluster-181.0	0	0	0	0	0	30
Cluster-182.0	0	0	0	0	0	31
Cluster-183.0	0	0	0	0	0	27
Cluster-184.0	0	0	0	0	0	34
Cluster-185.0	0	0	0	0	0	28
Cluster-186.0	0	0	0	0	0	32
Cluster-187.0	0	0	0	0	0	28
Cluster-188.0	0	0	0	0	0	28
Cluster-189.0	0	0	0	0	0	33
Cluster-190.0	0	0	0	0	0	31
Cluster-191.0	0	0	0	0	0	34
Cluster-192.0	0	0	0	0	0	33
Cluster-193.0	0	0	0	0	0	34
Cluster-194.0	0	0	0	0	0	39
Cluster-195.0	0	0	0	0	0	35
Cluster-196.0	0	0	0	0	0	38
Cluster-197.0	0	0	0	0	0	41
Cluster-198.0	0	0	0	0	0	40
Cluster-199.0	0	0	0	0	0	39
Cluster-200.0	0	0	0	0	0	40
Cluster-201.0	0	0	0	0	0	43
Cluster-202.0	0	0	0	0	0	48
Cluster-203.0	0	0	0	0	0	46
Cluster-204.0	0	0	0	0	0	51
Cluster-205.0	0	0	0	0	0	47
Cluster-206.0	0	0	0	0	0	53
Cluster-207.0	0	0	0	0	0	57
Cluster-208.0	0	0	0	0	0	14
Cluster-209.0	0	0	0	0	0	22
Cluster-210.0	0	0	0	0	0	28
