	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-98.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-99.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-100.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-101.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-102.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-103.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-104.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-105.0	0	0	0	0	9	0	12	8	4	7	55
Cluster-106.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-107.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-108.0	0	0	0	0	0	0	0	0	0	0	51
Cluster-108.1	1	0	0	0	0	0	0	0	0	0	41
Cluster-108.2	0	0	0	6	0	0	0	0	7	0	22
Cluster-108.3	0	0	0	0	0	0	0	0	0	0	17
Cluster-109.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-110.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-111.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-112.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-113.0	0	0	0	0	0	0	0	0	0	0	39
Cluster-114.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-115.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-116.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-117.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-118.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-119.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-120.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-121.0	0	0	2	8	0	0	0	5	3	112	543
Cluster-122.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-123.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-124.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-125.0	0	0	0	0	0	0	0	0	0	0	33
Cluster-126.0	0	0	0	0	0	0	0	0	0	0	26
Cluster-126.1	0	0	0	0	0	0	0	0	0	0	164
Cluster-127.0	0	0	0	0	0	0	0	0	0	0	26
Cluster-128.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-129.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-130.0	0	0	0	0	0	0	0	0	0	0	416
Cluster-131.0	0	0	0	0	0	0	0	0	0	0	47
Cluster-132.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-133.0	0	0	0	0	0	0	0	0	0	0	43
Cluster-134.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-135.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-136.0	0	0	0	0	0	0	0	0	0	0	289
Cluster-137.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-138.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-139.0	0	0	0	0	0	0	0	0	0	0	42
Cluster-140.0	0	0	0	0	0	0	0	0	0	0	8
Cluster-140.1	0	0	0	0	0	0	0	0	0	0	34
Cluster-140.2	0	0	0	0	0	0	0	0	0	0	28
Cluster-141.0	0	0	0	0	0	0	0	0	0	0	18
Cluster-142.0	0	0	0	0	0	0	0	0	0	0	96
Cluster-142.1	0	0	0	0	0	0	0	0	0	0	38
Cluster-143.0	0	0	0	0	0	0	0	0	0	0	36
Cluster-144.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-145.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-146.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-147.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-148.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-148.1	0	0	0	0	0	0	0	0	0	16	132
Cluster-149.0	0	0	0	0	0	0	0	0	0	0	7
Cluster-149.1	7	0	0	0	0	3	0	0	2	0	10
